epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,816.113,1.20348,0.74568,1.10413,0.83669,0.77219,0.83752,0.49714,1.41222,0.89589,1.18473,0.0011882,0.0011882,0.0011882
43,835.945,1.17624,0.72003,1.08906,0.82325,0.7942,0.84427,0.50714,1.36106,0.86341,1.14656,0.0011684,0.0011684,0.0011684
44,854.788,1.19024,0.72975,1.10005,0.81703,0.78954,0.84602,0.49282,1.41001,0.88732,1.1646,0.0011486,0.0011486,0.0011486
45,873.283,1.19012,0.72445,1.09681,0.8325,0.76832,0.80519,0.44797,1.48054,0.90105,1.22609,0.0011288,0.0011288,0.0011288
46,893.476,1.17308,0.72394,1.08274,0.84301,0.76812,0.83602,0.46996,1.45005,0.87154,1.19058,0.001109,0.001109,0.001109
47,911.999,1.16647,0.72081,1.08505,0.83108,0.79034,0.85018,0.53961,1.29318,0.81679,1.11265,0.0010892,0.0010892,0.0010892
48,930.81,1.17834,0.71904,1.08617,0.82107,0.73156,0.80948,0.44863,1.44971,0.97006,1.18926,0.0010694,0.0010694,0.0010694
49,951.027,1.17458,0.71657,1.07729,0.85189,0.79034,0.85459,0.53307,1.34125,0.81305,1.13813,0.0010496,0.0010496,0.0010496
50,969.503,1.17482,0.71402,1.07454,0.83364,0.78454,0.83313,0.4876,1.46542,0.91019,1.18803,0.0010298,0.0010298,0.0010298
51,987.949,1.1663,0.70763,1.07592,0.82264,0.78872,0.84408,0.51137,1.33308,0.85744,1.14752,0.00101,0.00101,0.00101
52,1007.99,1.13681,0.69537,1.07474,0.82544,0.76301,0.81319,0.43972,1.49003,0.97676,1.23646,0.0009902,0.0009902,0.0009902
53,1026.63,1.13724,0.69507,1.07514,0.82795,0.80904,0.85471,0.5014,1.40004,0.87325,1.16766,0.0009704,0.0009704,0.0009704
54,1045.27,1.13017,0.68626,1.06744,0.8313,0.78841,0.8414,0.53147,1.32763,0.87826,1.11202,0.0009506,0.0009506,0.0009506
55,1065.35,1.12534,0.68017,1.06153,0.84237,0.78551,0.84854,0.52586,1.3624,0.85199,1.13279,0.0009308,0.0009308,0.0009308
56,1084.07,1.13109,0.68131,1.06042,0.81979,0.82192,0.85755,0.49952,1.42332,0.8609,1.1919,0.000911,0.000911,0.000911
57,1102.55,1.11966,0.67998,1.06205,0.81578,0.80193,0.83969,0.48952,1.43912,0.90383,1.19281,0.0008912,0.0008912,0.0008912
58,1122.7,1.12142,0.6842,1.06716,0.82904,0.78937,0.84428,0.49158,1.36809,0.8914,1.17474,0.0008714,0.0008714,0.0008714
59,1141.57,1.12454,0.67753,1.05998,0.81849,0.81063,0.85201,0.50897,1.39031,0.91081,1.17131,0.0008516,0.0008516,0.0008516
60,1160.85,1.11672,0.67623,1.05304,0.83403,0.82415,0.86388,0.53598,1.35516,0.8426,1.13083,0.0008318,0.0008318,0.0008318
61,1180.86,1.11415,0.67357,1.05949,0.81563,0.81739,0.84713,0.50875,1.37228,0.84977,1.16256,0.000812,0.000812,0.000812
62,1199.75,1.11409,0.66958,1.05217,0.82117,0.77681,0.8416,0.50592,1.35471,0.83292,1.17163,0.0007922,0.0007922,0.0007922
63,1219.5,1.10388,0.67053,1.05252,0.8248,0.82328,0.86168,0.53571,1.32467,0.778,1.12075,0.0007724,0.0007724,0.0007724
64,1238.85,1.09665,0.6524,1.04717,0.83453,0.78453,0.83866,0.48761,1.40486,0.88045,1.16694,0.0007526,0.0007526,0.0007526
65,1257.62,1.08971,0.65683,1.04488,0.83884,0.80483,0.86246,0.53796,1.31633,0.83967,1.12304,0.0007328,0.0007328,0.0007328
66,1277.73,1.07953,0.65044,1.04796,0.85201,0.79034,0.85615,0.50711,1.37858,0.89853,1.15992,0.000713,0.000713,0.000713
67,1296.77,1.1006,0.6572,1.04662,0.82398,0.8058,0.84085,0.50163,1.40356,0.87639,1.17933,0.0006932,0.0006932,0.0006932
68,1315.56,1.08269,0.64831,1.04386,0.81252,0.79517,0.83986,0.49195,1.41737,0.8809,1.18705,0.0006734,0.0006734,0.0006734
69,1335.71,1.08737,0.64623,1.04181,0.85557,0.79227,0.85143,0.52676,1.36925,0.8409,1.15034,0.0006536,0.0006536,0.0006536
70,1354.3,1.07055,0.64347,1.03512,0.84087,0.8,0.8541,0.51701,1.38488,0.86085,1.17223,0.0006338,0.0006338,0.0006338
71,1372.68,1.0749,0.64769,1.03807,0.84266,0.81238,0.85666,0.52946,1.36641,0.84559,1.14677,0.000614,0.000614,0.000614
72,1393.05,1.0672,0.63194,1.03437,0.85274,0.80676,0.86323,0.53813,1.33281,0.81573,1.14183,0.0005942,0.0005942,0.0005942
73,1411.93,1.07653,0.64201,1.03685,0.81458,0.8029,0.84402,0.48843,1.43251,0.87399,1.20516,0.0005744,0.0005744,0.0005744
74,1430.55,1.05831,0.63382,1.03388,0.87327,0.78647,0.8604,0.51689,1.37712,0.79709,1.16584,0.0005546,0.0005546,0.0005546
75,1451.01,1.04418,0.62319,1.02455,0.84117,0.81361,0.85903,0.52017,1.36274,0.81241,1.15608,0.0005348,0.0005348,0.0005348
76,1469.75,1.06254,0.62998,1.03019,0.84971,0.80193,0.85086,0.49785,1.40085,0.82126,1.19427,0.000515,0.000515,0.000515
77,1488.83,1.03436,0.61636,1.02354,0.85566,0.77895,0.8415,0.48806,1.43157,0.87084,1.19975,0.0004952,0.0004952,0.0004952
78,1508.6,1.04977,0.62314,1.02633,0.83117,0.81063,0.85214,0.50529,1.36822,0.80722,1.17124,0.0004754,0.0004754,0.0004754
79,1527.34,1.04068,0.61793,1.02452,0.86189,0.79591,0.85982,0.52626,1.37389,0.82585,1.16536,0.0004556,0.0004556,0.0004556
80,1546.57,1.02477,0.61015,1.01876,0.86069,0.79992,0.85909,0.51663,1.37135,0.81163,1.17003,0.0004358,0.0004358,0.0004358
81,1566.32,1.02981,0.60884,1.01471,0.8403,0.80322,0.85979,0.51806,1.36053,0.82551,1.17497,0.000416,0.000416,0.000416
82,1584.91,1.02673,0.61261,1.02061,0.85816,0.7971,0.86348,0.51014,1.41153,0.85597,1.18303,0.0003962,0.0003962,0.0003962
83,1604.31,1.01499,0.60216,1.01507,0.85807,0.79439,0.85814,0.51132,1.40365,0.87005,1.18396,0.0003764,0.0003764,0.0003764
84,1623.77,1.01642,0.60351,1.01268,0.84898,0.79903,0.86215,0.53203,1.33167,0.8173,1.14644,0.0003566,0.0003566,0.0003566
85,1642.52,1.00436,0.59597,1.01188,0.89124,0.78379,0.86221,0.51625,1.35864,0.8137,1.16763,0.0003368,0.0003368,0.0003368
86,1662.14,0.99721,0.59294,1.00591,0.87281,0.78901,0.859,0.52913,1.35484,0.84021,1.16229,0.000317,0.000317,0.000317
87,1681.29,1.00115,0.59535,1.01222,0.84803,0.81353,0.86468,0.5281,1.35747,0.8237,1.16436,0.0002972,0.0002972,0.0002972
88,1699.92,0.99624,0.59216,1.0071,0.86831,0.79034,0.86133,0.50126,1.39016,0.82685,1.19004,0.0002774,0.0002774,0.0002774
89,1720.34,0.99283,0.58829,1.00514,0.83731,0.83041,0.86308,0.52504,1.35762,0.82816,1.16641,0.0002576,0.0002576,0.0002576
90,1739.05,0.99997,0.58903,1.00736,0.8511,0.81734,0.86549,0.53061,1.34112,0.83607,1.1486,0.0002378,0.0002378,0.0002378
91,1759.12,0.98443,0.57137,1.00519,0.84505,0.81739,0.8628,0.51747,1.37775,0.83885,1.17155,0.000218,0.000218,0.000218
92,1778.82,0.95787,0.55015,0.99282,0.84669,0.82175,0.86822,0.52497,1.3739,0.82298,1.16608,0.0001982,0.0001982,0.0001982
93,1796.75,0.95126,0.54303,0.99201,0.84237,0.82609,0.86677,0.51555,1.39229,0.83577,1.18181,0.0001784,0.0001784,0.0001784
94,1814.68,0.94171,0.53804,0.9859,0.83735,0.81643,0.85844,0.51982,1.38249,0.83986,1.17683,0.0001586,0.0001586,0.0001586
95,1834.23,0.93234,0.53177,0.98282,0.83842,0.82995,0.86791,0.52078,1.41398,0.82506,1.19793,0.0001388,0.0001388,0.0001388
96,1852.43,0.92991,0.53475,0.9854,0.86615,0.80193,0.86419,0.52813,1.35112,0.80319,1.1568,0.000119,0.000119,0.000119
97,1870.43,0.92543,0.52815,0.98271,0.85647,0.82448,0.87084,0.5279,1.37242,0.80272,1.18156,9.92e-05,9.92e-05,9.92e-05
98,1889.22,0.92298,0.52406,0.97878,0.85024,0.81932,0.86711,0.51724,1.37021,0.81606,1.17223,7.94e-05,7.94e-05,7.94e-05
99,1908.16,0.91344,0.51911,0.97805,0.84824,0.81543,0.86795,0.53107,1.34175,0.80902,1.15625,5.96e-05,5.96e-05,5.96e-05
100,1926.15,0.92178,0.52679,0.97655,0.85348,0.82169,0.86793,0.53298,1.34636,0.79947,1.15339,3.98e-05,3.98e-05,3.98e-05
