epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,283.069,1.21844,0.75371,1.10552,0.82315,0.7942,0.85552,0.53593,1.20614,0.68748,1.07147,0.0011882,0.0011882,0.0011882
43,289.737,1.22412,0.76254,1.1039,0.80264,0.81449,0.84666,0.49741,1.2832,0.70902,1.11674,0.0011684,0.0011684,0.0011684
44,296.329,1.2211,0.75722,1.10479,0.82224,0.80893,0.85114,0.49139,1.25018,0.69117,1.1017,0.0011486,0.0011486,0.0011486
45,303.084,1.19709,0.7426,1.0943,0.8301,0.79779,0.85865,0.53743,1.2314,0.68208,1.08285,0.0011288,0.0011288,0.0011288
46,309.683,1.17725,0.73032,1.08736,0.82509,0.82126,0.85627,0.53384,1.22838,0.69137,1.09075,0.001109,0.001109,0.001109
47,316.245,1.18824,0.72693,1.09175,0.85603,0.79903,0.85522,0.53616,1.19401,0.67812,1.06713,0.0010892,0.0010892,0.0010892
48,322.838,1.20773,0.74071,1.09239,0.82631,0.7971,0.85321,0.52965,1.23607,0.68342,1.08982,0.0010694,0.0010694,0.0010694
49,329.406,1.18032,0.7276,1.08852,0.83513,0.81449,0.85975,0.54457,1.218,0.67169,1.08431,0.0010496,0.0010496,0.0010496
50,336.109,1.16547,0.71699,1.08378,0.79837,0.81739,0.83806,0.47535,1.29832,0.71222,1.13043,0.0010298,0.0010298,0.0010298
51,342.689,1.17559,0.72233,1.08004,0.81697,0.80646,0.84608,0.54407,1.2063,0.68308,1.08091,0.00101,0.00101,0.00101
52,349.248,1.17765,0.7163,1.08011,0.83855,0.79791,0.85565,0.51591,1.25662,0.69493,1.11513,0.0009902,0.0009902,0.0009902
53,355.766,1.16786,0.71285,1.08144,0.81953,0.81159,0.84046,0.51646,1.21411,0.66971,1.08865,0.0009704,0.0009704,0.0009704
54,362.301,1.19091,0.72277,1.0872,0.82278,0.78948,0.83792,0.53453,1.23396,0.70077,1.09586,0.0009506,0.0009506,0.0009506
55,368.98,1.16095,0.70526,1.08065,0.85792,0.77295,0.83321,0.5092,1.25905,0.70308,1.11096,0.0009308,0.0009308,0.0009308
56,375.513,1.15318,0.70614,1.07393,0.84006,0.81194,0.86411,0.54231,1.22304,0.68755,1.08268,0.000911,0.000911,0.000911
57,382.046,1.15726,0.70733,1.07312,0.85586,0.8,0.87022,0.55839,1.21549,0.6624,1.08054,0.0008912,0.0008912,0.0008912
58,388.606,1.13953,0.70166,1.06863,0.85418,0.8029,0.85286,0.52796,1.1999,0.67532,1.06942,0.0008714,0.0008714,0.0008714
59,395.287,1.14766,0.69384,1.06824,0.83485,0.80773,0.85351,0.51544,1.25236,0.67471,1.10565,0.0008516,0.0008516,0.0008516
60,401.81,1.15376,0.69038,1.06822,0.81959,0.79447,0.84837,0.49417,1.27043,0.70913,1.11332,0.0008318,0.0008318,0.0008318
61,408.335,1.14043,0.68821,1.06599,0.83644,0.79807,0.85847,0.53942,1.24276,0.69712,1.08677,0.000812,0.000812,0.000812
62,414.889,1.12925,0.6769,1.05848,0.82288,0.83865,0.86,0.52855,1.24066,0.66575,1.09699,0.0007922,0.0007922,0.0007922
63,421.639,1.12677,0.67923,1.06416,0.86137,0.81644,0.86922,0.55485,1.23241,0.64871,1.0908,0.0007724,0.0007724,0.0007724
64,428.451,1.11458,0.67174,1.05457,0.83861,0.8284,0.86557,0.52824,1.2256,0.65605,1.09179,0.0007526,0.0007526,0.0007526
65,434.988,1.1098,0.67429,1.0499,0.85799,0.81353,0.86883,0.536,1.216,0.64752,1.08107,0.0007328,0.0007328,0.0007328
66,441.466,1.10624,0.66726,1.06069,0.83775,0.83092,0.87187,0.52486,1.25224,0.65417,1.11338,0.000713,0.000713,0.000713
67,447.982,1.09662,0.66787,1.05063,0.8336,0.82222,0.87082,0.5137,1.23371,0.66113,1.10028,0.0006932,0.0006932,0.0006932
68,454.498,1.08974,0.65777,1.0435,0.8584,0.81932,0.8702,0.54012,1.22541,0.64475,1.08851,0.0006734,0.0006734,0.0006734
69,461.137,1.10082,0.66342,1.04416,0.88052,0.77612,0.85817,0.53512,1.22053,0.66552,1.08974,0.0006536,0.0006536,0.0006536
70,467.666,1.10373,0.66568,1.04427,0.83138,0.82887,0.8585,0.53444,1.2143,0.648,1.08198,0.0006338,0.0006338,0.0006338
71,474.183,1.09157,0.65379,1.04611,0.82824,0.83864,0.86846,0.56069,1.20583,0.63941,1.08032,0.000614,0.000614,0.000614
72,480.685,1.09547,0.6539,1.05477,0.85245,0.81494,0.87125,0.56169,1.19566,0.63541,1.07411,0.0005942,0.0005942,0.0005942
73,487.23,1.09717,0.65512,1.04686,0.84173,0.83092,0.87027,0.52903,1.23056,0.65563,1.08982,0.0005744,0.0005744,0.0005744
